,branch,address,city,zip code,ytd,year,month,circulation_count
139,Pullman,,,,16344,2016,january,1314
140,Roden,,,,73599,2016,january,6067
141,Rogers Park,,,,131222,2016,january,10541
142,Roosevelt,,,,62700,2016,january,4776
143,Scottsdale,,,,35488,2016,january,2846
144,Sherman Park,,,,10521,2016,january,819
145,South Chicago,,,,30219,2016,january,2356
146,South Shore,,,,38129,2016,january,2704
147,Sulzer Regional,,,,412021,2016,january,38192
148,Thurgood Marshall,,,,31240,2016,january,2444
149,Toman,,,,70387,2016,january,6443
150,Uptown,,,,87270,2016,january,7473
151,Vodak-East Side,,,,49351,2016,january,4054
152,Walker,,,,23499,2016,january,1867
153,Water Works,,,,42264,2016,january,3109
154,West Belmont,,,,84081,2016,january,6911
155,West Chicago Avenue,,,,16645,2016,january,1502
156,West Englewood,,,,16878,2016,january,1245
157,West Lawn,,,,59115,2016,january,5389
158,West Pullman,,,,26449,2016,january,2144
159,West Town,,,,75478,2016,january,6748
160,"Whitney M. Young, Jr.",,,,23194,2016,january,1713
161,Woodson Regional,,,,74622,2016,january,7833
162,Wrightwood-Ashburn,,,,25190,2016,january,2208
166,Altgeld,,,,4297,2017,january,316
167,Garfield Ridge,,,,61434,2017,january,5079
168,Rogers Park,,,,126146,2017,january,9954
169,Merlo,,,,95477,2017,january,8128
170,Legler Regional,,,,12520,2017,january,1357
171,King,,,,28927,2017,january,2746
172,North Austin,,,,17845,2017,january,1518
173,Uptown,,,,83125,2017,january,6838
174,Wrightwood-Ashburn,,,,22473,2017,january,2068
175,Harold Washington Library Center,,,,634570,2017,january,52985
176,Toman,,,,65020,2017,january,5869
177,West Belmont,,,,81816,2017,january,7802
178,"Daley, Richard J. - Bridgeport",,,,66355,2017,january,5851
179,Sherman Park,,,,9228,2017,january,910
180,Coleman,,,,40095,2017,january,3615
181,Oriole Park,,,,72151,2017,january,6040
182,Pullman,,,,15123,2017,january,1401
183,Northtown,,,,94927,2017,january,7466
184,Water Works,,,,48351,2017,january,3923
185,Lincoln Belmont,,,,154474,2017,january,13221
186,Austin-Irving,,,,110235,2017,january,9530
187,Chinatown,,,,127037,2017,january,9934
188,North Pulaski,,,,37242,2017,january,3787
189,Brighton Park,,,,56112,2017,january,4534
190,Budlong Woods,,,,97721,2017,january,8152
191,Douglass,,,,15553,2017,january,1739
192,Vodak-East Side,,,,41701,2017,january,3485
193,"Whitney M. Young, Jr.",,,,14547,2017,january,1955
194,West Chicago Avenue,,,,12682,2017,january,1060
195,Chicago Lawn,,,,38739,2017,january,3186
196,Roden,,,,74683,2017,january,6333
197,West Lawn,,,,51048,2017,january,4673
198,Chicago Bee,,,,12740,2017,january,1207
199,South Chicago,,,,24980,2017,january,2270
200,Bezazian,,,,102832,2017,january,8300
201,South Shore,,,,30527,2017,january,2861
202,Austin,,,,12015,2017,january,1217
203,Canaryville,,,,23027,2017,january,1703
205,Avalon,,,,45981,2017,january,3814
206,Jeffery Manor,,,,9057,2017,january,922
207,"Daley, Richard M. - W Humboldt",,,,31597,2017,january,3000
208,West Town,,,,69661,2017,january,5799
209,Beverly,,,,72769,2017,january,6251
210,Mount Greenwood,,,,64963,2017,january,5172
211,Humboldt Park,,,,63037,2017,january,5521
212,Dunning,,,,58392,2017,january,5627
213,Lincoln Park,,,,117833,2017,january,10057
214,Bucktown-Wicker Park,,,,117212,2017,january,10280
215,Back of the Yards,,,,31124,2017,january,2790
216,Thurgood Marshall,,,,27162,2017,january,2574
217,Kelly,,,,11160,2017,january,978
218,Independence,,,,0,2017,january,0
219,Mayfair,,,,56550,2017,january,4893
220,Hall,,,,15017,2017,january,1133
221,Manning,,,,29033,2017,january,2340
222,Galewood-Mont Clare,,,,12110,2017,january,1027
224,Woodson Regional,,,,0,2017,january,0
225,Logan Square,,,,129314,2017,january,11141
226,Greater Grand Crossing,,,,23192,2017,january,2004
227,Edgewater,,,,182962,2017,january,15338
228,Hegewisch,,,,25300,2017,january,2235
229,West Pullman,,,,29836,2017,january,2574
230,West Englewood,,,,16943,2017,january,1381
231,Blackstone,,,,96778,2017,january,8430
232,Lozano,,,,56669,2017,january,4690
233,Albany Park,,,,121534,2017,january,11031
234,Gage Park,,,,19172,2017,january,2093
236,Archer Heights,,,,68197,2017,january,5857
237,Jefferson Park,,,,86449,2017,january,7197
238,Edgebrook,,,,101906,2017,january,8205
239,Near North,,,,110921,2017,january,9473
240,Scottsdale,,,,32880,2017,january,2879
241,Portage-Cragin,,,,89744,2017,january,7500
242,Walker,,,,21509,2017,january,1934
243,Brainerd,,,,12425,2017,january,1087
244,Clearing,,,,37950,2017,january,3420
245,Little Village,,,,61242,2017,january,5735
246,Sulzer Regional,,,,403323,2017,january,34177
247,Roosevelt,,,,58366,2017,january,4682
248,McKinley Park,,,,68579,2017,january,5830
249,West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651.0,4609,2022,january,230
250,"Whitney M. Young, Jr.",415 E. 79th St.,Chicago,60619.0,8041,2022,january,674
252,Woodson Regional,9525 S. Halsted St.,Chicago,60628.0,25002,2022,january,1891
253,Beverly,1962 W. 95th St.,Chicago,60643.0,26961,2022,january,3164
254,Archer Heights,5055 S. Archer Ave.,Chicago,60632.0,27343,2022,january,2341
255,Manning,6 S. Hoyne Ave.,Chicago,60612.0,11869,2022,january,574
256,Blackstone,4904 S. Lake Park Ave.,Chicago,60615.0,81017,2022,january,7234
257,Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641.0,41531,2022,january,3109
258,West Belmont,3104 N. Narragansett Ave.,Chicago,60634.0,35914,2022,january,2996
259,Avalon,8148 S. Stony Island Ave.,Chicago,60617.0,15567,2022,january,1236
260,Edgewater,6000 N. Broadway St.,Chicago,60660.0,124239,2022,january,10727
261,South Shore,2505 E. 73rd St.,Chicago,60649.0,10647,2022,january,836
262,Legler Regional,115 S. Pulaski Rd.,Chicago,60624.0,6453,2022,january,453
263,Hall,4801 S. Michigan Ave.,Chicago,60615.0,7510,2022,january,611
264,Back of the Yards,2111 W. 47th St.,Chicago,60609.0,12242,2022,january,771
265,Vodak-East Side,3710 E. 106th St.,Chicago,60617.0,19893,2022,january,1472
266,Mayfair,4400 W. Lawrence Ave.,Chicago,60630.0,30562,2022,january,2572
268,Dunning,7455 W. Cornelia Ave.,Chicago,60634.0,40511,2022,january,2971
269,West Pullman,830 W. 119th St.,Chicago,60643.0,8454,2022,january,592
270,Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630.0,59621,2022,january,5166
271,Sherman Park,5440 S. Racine Ave.,Chicago,60609.0,2857,2022,january,119
272,Altgeld,955 E. 131st St.,Chicago,60827.0,2641,2022,january,150
273,North Austin,5724 W. North Ave.,Chicago,60639.0,6732,2022,january,477
274,Little Village,2311 S. Kedzie Ave.,Chicago,60623.0,17465,2022,january,1400
275,Near North,310 W. Division St.,Chicago,60610.0,46760,2022,january,7192
276,Water Works,163 E. Pearson St.,Chicago,60611.0,38310,2022,january,2506
277,Uptown,929 W. Buena Ave.,Chicago,60613.0,54707,2022,january,5798
279,Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647.0,98867,2022,january,8411
280,Jeffery Manor,2401 E. 100th St.,Chicago,60617.0,5335,2022,january,346
281,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,64486,2022,january,5561
282,West Englewood,1745 W. 63rd St.,Chicago,60636.0,4576,2022,january,365
283,Northtown,6800 N. Western Ave.,Chicago,60645.0,101188,2022,january,8393
284,West Lawn,4020 W. 63rd St.,Chicago,60629.0,20225,2022,january,548
