branch	address	city	zip code	ytd	year	month	circulation	date
Oriole Park				72151	2017	january	6040	2017-01-01
Pullman				15123	2017	january	1401	2017-01-01
Northtown				94927	2017	january	7466	2017-01-01
Water Works				48351	2017	january	3923	2017-01-01
Lincoln Belmont				154474	2017	january	13221	2017-01-01
Austin-Irving				110235	2017	january	9530	2017-01-01
Chinatown				127037	2017	january	9934	2017-01-01
North Pulaski				37242	2017	january	3787	2017-01-01
Brighton Park				56112	2017	january	4534	2017-01-01
Budlong Woods				97721	2017	january	8152	2017-01-01
Douglass				15553	2017	january	1739	2017-01-01
Vodak-East Side				41701	2017	january	3485	2017-01-01
Whitney M. Young, Jr.				14547	2017	january	1955	2017-01-01
West Chicago Avenue				12682	2017	january	1060	2017-01-01
Chicago Lawn				38739	2017	january	3186	2017-01-01
Roden				74683	2017	january	6333	2017-01-01
West Lawn				51048	2017	january	4673	2017-01-01
Chicago Bee				12740	2017	january	1207	2017-01-01
South Chicago				24980	2017	january	2270	2017-01-01
Bezazian				102832	2017	january	8300	2017-01-01
South Shore				30527	2017	january	2861	2017-01-01
Austin				12015	2017	january	1217	2017-01-01
Canaryville				23027	2017	january	1703	2017-01-01
Avalon				45981	2017	january	3814	2017-01-01
Jeffery Manor				9057	2017	january	922	2017-01-01
Daley, Richard M. - W Humboldt				31597	2017	january	3000	2017-01-01
West Town				69661	2017	january	5799	2017-01-01
Beverly				72769	2017	january	6251	2017-01-01
Mount Greenwood				64963	2017	january	5172	2017-01-01
Humboldt Park				63037	2017	january	5521	2017-01-01
Dunning				58392	2017	january	5627	2017-01-01
Lincoln Park				117833	2017	january	10057	2017-01-01
Bucktown-Wicker Park				117212	2017	january	10280	2017-01-01
Back of the Yards				31124	2017	january	2790	2017-01-01
Thurgood Marshall				27162	2017	january	2574	2017-01-01
Kelly				11160	2017	january	978	2017-01-01
Independence				0	2017	january	0	2017-01-01
Mayfair				56550	2017	january	4893	2017-01-01
Hall				15017	2017	january	1133	2017-01-01
Manning				29033	2017	january	2340	2017-01-01
Galewood-Mont Clare				12110	2017	january	1027	2017-01-01
Woodson Regional				0	2017	january	0	2017-01-01
Logan Square				129314	2017	january	11141	2017-01-01
Greater Grand Crossing				23192	2017	january	2004	2017-01-01
Edgewater				182962	2017	january	15338	2017-01-01
Hegewisch				25300	2017	january	2235	2017-01-01
West Pullman				29836	2017	january	2574	2017-01-01
West Englewood				16943	2017	january	1381	2017-01-01
Blackstone				96778	2017	january	8430	2017-01-01
Lozano				56669	2017	january	4690	2017-01-01
Albany Park				121534	2017	january	11031	2017-01-01
Gage Park				19172	2017	january	2093	2017-01-01
Archer Heights				68197	2017	january	5857	2017-01-01
Jefferson Park				86449	2017	january	7197	2017-01-01
Edgebrook				101906	2017	january	8205	2017-01-01
Near North				110921	2017	january	9473	2017-01-01
Scottsdale				32880	2017	january	2879	2017-01-01
Portage-Cragin				89744	2017	january	7500	2017-01-01
Walker				21509	2017	january	1934	2017-01-01
Brainerd				12425	2017	january	1087	2017-01-01
Clearing				37950	2017	january	3420	2017-01-01
Little Village				61242	2017	january	5735	2017-01-01
Sulzer Regional				403323	2017	january	34177	2017-01-01
Roosevelt				58366	2017	january	4682	2017-01-01
McKinley Park				68579	2017	january	5830	2017-01-01
West Chicago Avenue	4856 W. Chicago Ave.	Chicago	60651.0	4609	2022	january	230	2022-01-01
Whitney M. Young, Jr.	415 E. 79th St.	Chicago	60619.0	8041	2022	january	674	2022-01-01
